upandininLV,"""I have insurance, I might as well use it while I can..."" #Obamacare"
BOSSYtxmar55,RT @M0L0NL4BE: #Obamacare will be the biggest jobs killer in American history #DefundObamacare IMMEDIATELY #PJNET http://t.co/6cXWRu8VhL
kerryhaynes0026,RT @M0L0NL4BE: #Obamacare will be the biggest jobs killer in American history #DefundObamacare IMMEDIATELY #PJNET http://t.co/6cXWRu8VhL
_plaa95,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
LuanaMacLac,RT @TonyPhyrillas: #ObamaCare Is Worst Possible Model For Retirement System Reform http://t.co/nRaUq3HNK4 #IBDEditorials via @IBDinvestors
RangerDamrod,@whitehouse @barackobama #obama Thousands of consumers get insurance cancellation notices #Obamacare: http://t.co/WKd7kAD7LH  #thanksobama
ThePoliticus,Help us promote progressive issues and ideas by writing about them on http://t.co/IDo5xiPG3o  #ClimateOfDenial #ObamaCare #LoveIsLove
RangerDamrod,"RT @texasfreedom101: Mike Lee:

Thousands of consumers get insurance cancellation notices due to #Obamacare: http://t.co/7soDufIv1E  #Defun…"
Gunservatively,RT @TonyPhyrillas: #ObamaCare Is Worst Possible Model For Retirement System Reform http://t.co/nRaUq3HNK4 #IBDEditorials via @IBDinvestors
RobForshey,RT @2AFight: #2A: Medical Malpractice is *605 TIMES MORE DEADLY* than Rifles #Obamacare #NRA #tcot #tgdn #gunsense #PJNET http://t.co/adtiZ…
Gunservatively,RT @TonyPhyrillas: Congressional Research Service: There's No Magic Pot Of #Obamacare Medicaid Expansion Money http://t.co/u7jx5DR1Ea via @…
CorlessJones,"RT @markeyeguy: How #Obamacare screwed me
1.does not pay my hospital bill at all
2.raised my self pay doctor bill retroactively and I now o…"
Holmesdonna1,RT @markeyeguy: #obamacare triples my hospital bills retroactively...nice http://t.co/56XM2RKlLi
TonyPhyrillas,Congressional Research Service: There's No Magic Pot Of #Obamacare Medicaid Expansion Money http://t.co/u7jx5DR1Ea via @forbes
macaalanis3,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
TonyPhyrillas,New Poll Confirms Voters Don't Want State #Obamacare Exchanges http://t.co/2Y0dlkJw3r via @forbes
BeckyJoSpray,"RT @markeyeguy: How #Obamacare screwed me
1.does not pay my hospital bill at all
2.raised my self pay doctor bill retroactively and I now o…"
flxcrz,RT @afpnevada: A nasty tax surprise is in store for #Obamacare customers http://t.co/qir4DS8Rug #ACA #tcot #ycot #tlot #healthcare
VegasJai,Las Vegas #Nevada Group Medical &amp; Health Insurance - #Obamacare  Low Rates Call us 702-996-6434 get a quote Live Chat http://t.co/DckWXUpHbi
XSPartyVIP,Las Vegas #Nevada Group Medical &amp; Health Insurance - #Obamacare  Low Rates Call us 702-996-6434 get a quote Live Chat http://t.co/3rdhzCkcW2
Insure_NV,Las Vegas #Nevada Group Medical &amp; Health Insurance - #Obamacare  Low Rates Call us 702-996-6434 get a quote Live Chat http://t.co/dS5h82vdvS
vippartyvegas,Las Vegas #Nevada Group Medical &amp; Health Insurance - #Obamacare  Low Rates Call us 702-996-6434 get a quote Live Chat http://t.co/OgdmiNjA9b
JLenardDetroit,#FixItFail: Just Another #ACA/#ObamaCare Lie http://t.co/LB2NYRaBXT #USSenate #PJNet #UniteRight #RedNationRising #TEAParty
celtic34fan,RT @afpnevada: A nasty tax surprise is in store for #Obamacare customers http://t.co/qir4DS8Rug #ACA #tcot #ycot #tlot #healthcare
BluedotGa,"There's no #Obamacare for puppies. If you have a little extra, he could use your help. #SurgeryForSherlock http://t.co/JOGysYledO"
TonyPhyrillas,#ObamaCare Is Worst Possible Model For Retirement System Reform http://t.co/nRaUq3HNK4 #IBDEditorials via @IBDinvestors
lonecitizen14,RT @M0L0NL4BE: #Obamacare will be the biggest jobs killer in American history #DefundObamacare IMMEDIATELY #PJNET http://t.co/6cXWRu8VhL
Watchdogorg,"HHS sent the wrong #Obamacare tax forms to 800,000 people. But hey, at least they get an extension. http://t.co/lwxrBXdraq"
marieann66,"RT @mterry337: #TedCriz vows to REPEAL every word of #Obamacare! Why would he REPEAL a program that he is enrolled in?! 
#UniteBlue"
TeamWeThePeople,An article written about my family's #Obamacare woes.Children's life-saving meds no longer covered http://t.co/JpoEXTcUVS #FullRepeal #PJNET
MTWTwoPoint0,RT @MainstreamBias: #ObamaCare #MSM Bias @SocialNewsCorp http://t.co/n55f9arLZz Via #Twitter @MTWTwoPoint0 @victor_gruber @cpindc
arrowsmithwoman,RT @PattieCurran: My children's life-saving medications no longer covered because of #Obamacare http://t.co/sX89tHFB6w #ACA
arismendi_9,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
donniedixon22,"RT @OneDeception: Which of these is not like the others?
#ObamaCare
#IranCare
#IsraelCare
#ChristianCare

#tcot #Greta #WakeUpAmerica"
PegDelp,RT @drscott_atlanta: Insurance co's support #Obamacare bc it forces u to buy product at an enormous price. Rationing will keep costs down💉 …
MattieTrump97,RT @ScottWalker: We found out and we don't like it. Sign and join the fight to stand against #ObamaCare: http://t.co/LVIXBftqql -TW http://…
gashleyallen,"RT @markeyeguy: How #Obamacare screwed me
1.does not pay my hospital bill at all
2.raised my self pay doctor bill retroactively and I now o…"
1Viperbabe,"RT @markeyeguy: How #Obamacare screwed me
1.does not pay my hospital bill at all
2.raised my self pay doctor bill retroactively and I now o…"
itsmepanda1,RT @TeamWeThePeople: My Fox &amp; Friends interview from 2010 after I confronted Sen Hagan on #Obamacare http://t.co/LdVWuABAKS #FullRepeal #PJ…
ImmigrantNat1on,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
jlchristain,RT @UnPoliticalPrty: Tell 30 @GOP Governors NO #StateExchanges &amp; @SpeakerBoehner to DEFUND #ObamaCare http://t.co/jm1m15UjAG
arrowsmithwoman,RT @markeyeguy: #obamacare triples my hospital bills retroactively...nice http://t.co/56XM2RKlLi
arrowsmithwoman,"RT @markeyeguy: How #Obamacare screwed me
1.does not pay my hospital bill at all
2.raised my self pay doctor bill retroactively and I now o…"
raytimmermans,"RT @mterry337: #TedCriz vows to REPEAL every word of #Obamacare! Why would he REPEAL a program that he is enrolled in?! 
#UniteBlue"
Justforyou69,"RT @mterry337: #TedCriz vows to REPEAL every word of #Obamacare! Why would he REPEAL a program that he is enrolled in?! 
#UniteBlue"
afpnevada,A nasty tax surprise is in store for #Obamacare customers http://t.co/qir4DS8Rug #ACA #tcot #ycot #tlot #healthcare
XSPartyVIP,Compare Free Price Quotes on Group #Nevada Health Insurance Call us 702-996-6434 http://t.co/x28tN9TYHg #Obamacare
Imm_Ref2015,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
Frances_Locke,"RT @mterry337: #TedCriz vows to REPEAL every word of #Obamacare! Why would he REPEAL a program that he is enrolled in?! 
#UniteBlue"
Maggyw519,"RT @mterry337: #TedCriz vows to REPEAL every word of #Obamacare! Why would he REPEAL a program that he is enrolled in?! 
#UniteBlue"
longhaul52,"RT @mterry337: #TedCriz vows to REPEAL every word of #Obamacare! Why would he REPEAL a program that he is enrolled in?! 
#UniteBlue"
cathy_ccski,RT @texasfreedom101: Ted Cruz: #Obamacare not good enough 4 HHS Sec. Sebelius but good enough 4 Am. people? #MakeDCListen #pjnet http://t.c…
TeamWeThePeople,My Fox &amp; Friends interview from 2010 after I confronted Sen Hagan on #Obamacare http://t.co/LdVWuABAKS #FullRepeal #PJNET #ACA
Margaretherapy,"RT @mterry337: #TedCriz vows to REPEAL every word of #Obamacare! Why would he REPEAL a program that he is enrolled in?! 
#UniteBlue"
Esp_67,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
dchawkHughesNet,"RT @mterry337: #TedCriz vows to REPEAL every word of #Obamacare! Why would he REPEAL a program that he is enrolled in?! 
#UniteBlue"
WorldTravelDiva,"FL Gov flip-flops on #MedicaidExpansion, keeps 800,000 uninsured http://t.co/XGPkWaRZG6 #ACA #Obamacare #healthcare #Medicaid #UniteBlue #p2"
texasfreedom101,Ted Cruz: #Obamacare not good enough 4 HHS Sec. Sebelius but good enough 4 Am. people? #MakeDCListen #pjnet http://t.co/SkgTM6CNm3 %u2026
OFA_HI,Outrageous:Congress voted to cut essential programs like #Obamacare for millions of Americans. http://t.co/zd83Xfq856 http://t.co/t10552y2y0
hjaussie,RT @UnPoliticalPrty: Tell 30 @GOP Governors NO #StateExchanges &amp; @SpeakerBoehner to DEFUND #ObamaCare http://t.co/jm1m15UjAG
IV_80_,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
Swinehunter,RT @leahmeyer49: #Obamacare #taxreform #ConstitutionalConservative http://t.co/bVswwbzeLK
jancalmc8,"RT @larryelder: ""GOP 2016 Campaign Slogan""

#Obamacare  
#WorstRecovery
#economy http://t.co/93AaUD8lqy"
MathewsJeanne,"RT @texasfreedom101: Mike Lee:

Thousands of consumers get insurance cancellation notices due to #Obamacare: http://t.co/7soDufIv1E  #Defun…"
reform19,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
UnPoliticalPrty,Tell 30 @GOP Governors NO #StateExchanges &amp; @SpeakerBoehner to DEFUND #ObamaCare http://t.co/jm1m15UjAG
dessgess,RT @M0L0NL4BE: #ObamaCare success depends on 30 million young healthy adults to SIGNUP for something they can't afford &amp; don't need #PJNET …
orozcographics,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
jimwillard_2009,RT @drscott_atlanta: Insurance co's support #Obamacare bc it forces u to buy product at an enormous price. Rationing will keep costs down💉 …
sedonaduck,Is #ObamaCare Enrollment Already Hitting A Wall? http://t.co/kV9eWNtN9D #IBDNews via @IBDinvestors
misskatt41,RT @NCPA: Did you hear what @newtgingrich said about #Obamacare and Republicans. Could THIS be possibly true? http://t.co/qihnq96Tfp @johnr…
eventestes,RT @texasfreedom101: Ted Cruz It's not just #Obamacare website having problems. Thousands losing health care coverage: http://t.co/uX9hgNKm…
NJ_BLUE_,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
RightWingArtFan,RT @RightWingArt: IMAGE: Obamacare costs have doubled! http://t.co/1UvuzRa03c #obamacare #socialism #nobama #fail #resist44 #liar
NESportsFan1106,RT @texasfreedom101: Ted Cruz It's not just #Obamacare website having problems. Thousands losing health care coverage: http://t.co/uX9hgNKm…
Teddyshouse2II,"RT @UniteBluePA: Another GOP talking point bites the dust: 
#Obamacare Led To Few Cancelled Policies After All 
http://t.co/6CUQe2nccc"
FFRNewsNet1,#FFRNN #WAKINGUP TO #TYRANNY #Dem Rep: People Losing Their #Insurance Under #Obamacare - #AGoodThing http://t.co/FXEEfJ1xsx #WETHEPEOPLE
lhug67,RT @M0L0NL4BE: #Obamacare will be the biggest jobs killer in American history #DefundObamacare IMMEDIATELY #PJNET http://t.co/6cXWRu8VhL
Pilgrims1621,RT @texasfreedom101: Ted Cruz It's not just #Obamacare website having problems. Thousands losing health care coverage: http://t.co/uX9hgNKm…
SweepsFox,RT @texasfreedom101: Ted Cruz It's not just #Obamacare website having problems. Thousands losing health care coverage: http://t.co/uX9hgNKm…
KarrattiPaul,RT @texasfreedom101: Ted Cruz It's not just #Obamacare website having problems. Thousands losing health care coverage: http://t.co/uX9hgNKm…
ProfessorRobo,"- now, if they can jus turn their attention to eliminating th punitive elements of th #ObamaCare law, we might finally c progress #kellyfile"
RosalindaCoron4,"RT @chicoscperez: #TNTweeters #latinoVote 

Fact &gt;&gt;@RandPaul opposes #ImmigrationReform #GOPFAIL #ElectReform @HouseGOP #Obamacare http://t…"
_anacdiaz,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
grandpa_jimbo,"RT @texasfreedom101: Mike Lee:

Thousands of consumers get insurance cancellation notices due to #Obamacare: http://t.co/7soDufIv1E  #Defun…"
Hwalkerkirn,RT @texasfreedom101: Ted Cruz It's not just #Obamacare website having problems. Thousands losing health care coverage: http://t.co/uX9hgNKm…
colvillerunner,Public Works employees seeing increase in insurance costs wipe out raises http://t.co/cDGKI1HQ5i #Obamacare
Jrgazek,"RT @mcspocky: MT @andendall: OMG-another Economic Miracle: #Obamacare to reduce deficit by 600B
http://t.co/yKUEqZNpkD
#UniteBlue http://t.…"
Jrgazek,"RT @mcspocky: MT @EqualityRising_: Conservative Forbes Admits #Obamacare Adding Jobs &amp; Helping Economy http://t.co/crXplgjmKk
#ACA http://t…"
texasfreedom101,"Mike Lee:

Thousands of consumers get insurance cancellation notices due to #Obamacare: http://t.co/7soDufIv1E  #DefundObamacare #pjnet"
Jcephh,"My my my. The Real #Obamacare .

https://t.co/2CVZx4YnWb"
cssueta,RT @texasfreedom101: Ted Cruz It's not just #Obamacare website having problems. Thousands losing health care coverage: http://t.co/uX9hgNKm…
_PACB,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
DesireeBooco,RT @ApostleCarina: “@ACLJ: #ObamaCare:The wrong prescription for America http://t.co/1RAxquO94g Sign petition to defeat ObamaCare today htt…
gammajeff,"RT @UniteBluePA: Another GOP talking point bites the dust: 
#Obamacare Led To Few Cancelled Policies After All 
http://t.co/6CUQe2nccc"
WO_Dreamer,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
C_Jones16,RT @ArizonaAFP: #Obamacare will increase taxes nearly $800 billion   2013-2022  http://t.co/tb5NaJISjG  #tcot #pjnet #Azright #ACA http://t…
gypsybill,RT @ArizonaAFP: A nasty tax surprise is in store for #Obamacare customers http://t.co/4C0dZq6nNV #pjnet #tcot #Azright
ArizonaAFP,A nasty tax surprise is in store for #Obamacare customers http://t.co/4C0dZq6nNV #pjnet #tcot #Azright
Georgette_Todd,"RT @GOPLeader: On the 5th anniversary of #Obamacare, here are 5 #BrokenPromises that have Americans reeling from the failed law → http://t.…"
cuba40,"RT @StikNtheMud: Clear Calculated Lies:
#Bergdahl served withhonor.
If u like Ur Doctor...
If u like Ur Insurance...
#ISIS=JV Team.
Shall I…"
DguezVd,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
dfisher34109,@JohnKasich @megynkelly @FoxNews Was Megan's plastic surgery covered by #obamacare  ?
PFWJohn,"@mterry337 #Obamacare is a law, not a healthcare plan. It's a very bad law that all health insurance must conform to. It's about control."
ianTX1996,RT @PleasureNewport: When keeping it real goes right #newports #smoking #Obamacare #Merica http://t.co/EiH7cNlRic
Monhill1982,"RT @latimes: 18,000 Californians use extended #Obamacare sign-up to avoid tax penalty http://t.co/A4kI9Ygpkq"
lupash7,RT @texasfreedom101: Ted Cruz It's not just #Obamacare website having problems. Thousands losing health care coverage: http://t.co/uX9hgNKm…
debmorello,"RT @UniteBluePA: Another GOP talking point bites the dust: 
#Obamacare Led To Few Cancelled Policies After All 
http://t.co/6CUQe2nccc"
_Immigrant__,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
cincypkc,“@FreedomWorks: Rising deductables are destroying access to healthcare #ObamaCare @Watchdogorg http://t.co/R1iqW4liO4” @RepBradWenstrup
JosephMichWasik,RT @M0L0NL4BE: #Obamacare will be the biggest jobs killer in American history #DefundObamacare IMMEDIATELY #PJNET http://t.co/6cXWRu8VhL
AmericanSpringg,RT @texasfreedom101: Ted Cruz It's not just #Obamacare website having problems. Thousands losing health care coverage: http://t.co/uX9hgNKm…
M0L0NL4BE,#Obamacare will be the biggest jobs killer in American history #DefundObamacare IMMEDIATELY #PJNET http://t.co/6cXWRu8VhL
Aracelymtzreyes,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
pass_bill,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
texasfreedom101,Ted Cruz It's not just #Obamacare website having problems. Thousands losing health care coverage: http://t.co/uX9hgNKmHm %u2026 #pjnet
tinnaoseguera,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
hanOlie,"RT @mterry337: Since OCT 2013 over 30M Americans now have #healthcare because of #Obamacare!!!
#UniteBlue"
rratkinson,RT @RightWingArt: IMAGE: Obamacare costs have doubled! http://t.co/1UvuzRa03c #obamacare #socialism #nobama #fail #resist44 #liar
Bdtre13III,RT @RightWingArt: IMAGE: Obamacare costs have doubled! http://t.co/1UvuzRa03c #obamacare #socialism #nobama #fail #resist44 #liar
RightWingArt,IMAGE: Obamacare costs have doubled! http://t.co/1UvuzRa03c #obamacare #socialism #nobama #fail #resist44 #liar
jrt6408,"RT @StikNtheMud: Clear Calculated Lies:
#Bergdahl served withhonor.
If u like Ur Doctor...
If u like Ur Insurance...
#ISIS=JV Team.
Shall I…"
Latinos4R,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
DesireeBooco,RT @ACLJ: #ObamaCare: The wrong prescription for America http://t.co/6eCO7HtyjG Sign petition to defeat ObamaCare today http://t.co/xlMa8tE…
PhilosopherBum,"@WhiteHouse Maybe he should join his wife in the cause of hunger.
#ObamaCare 4 the true needs of A human."
PaddydubPatrick,RT @mterry337: According to Forbes over 1M new jobs have been created in #healthcare industry since #Obamacare was signed into law!! Some j…
imref2015,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
cardoza_rosario,"RT @chicoscperez: #TNTweeters #latinoVote 

Fact &gt;&gt;@RandPaul opposes #ImmigrationReform #GOPFAIL #ElectReform @HouseGOP #Obamacare http://t…"
patty_bray,RT @citizensrock: 1000s now alive because they had #Obamacare—millions more to follow—unless these ideologues become a real #DeathPanel htt…
cid1776,RT @GlobDesign: @drscott_atlanta @dramerling @drmartyfox didn't pay the #obamacare #tax? We'll send you to the #death #panel…..
bugalubaby2011,RT @GlobDesign: @drscott_atlanta @dramerling @drmartyfox didn't pay the #obamacare #tax? We'll send you to the #death #panel…..
NowCID,RT @GlobDesign: @drscott_atlanta @dramerling @drmartyfox didn't pay the #obamacare #tax? We'll send you to the #death #panel…..
hanktastic1776,"RT @TrucksHorsesDog: #StopCommonCore #StopHR5
Just Stop over-regulations killing jobs, Ponzi tax &amp; #Obamacare #CommonSense #WakeUpAmerica h…"
yolandamuniz7,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
NormanPenny,The #Obamacare Doomsday Cult Struggles to Adapt to World That Did Not End http://t.co/m555zvsEB3   via @intelligencer #ACAisWorking #inners
functionalabc,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare?!' Why would he want to repeal a #healthcare plan he i…
oracleofliberty,"Blog: Obamacare enrollment appears to have hit the wall http://t.co/qoG44tRhCq
#obamacare #ACA #openenrollment #tcot #tlot #hhs #tedcruz"
uninsuredinamer,"RT @Marmel: ""#RandPaul's website, including his official merchandise site, is so terrible he should never mention #Obamacare roll out again…"
VegasJai,Las Vegas #Nevada Group Health Insurance - #Obamacare  Low Rates Call us 702-996-6434 get a quote Live Chat http://t.co/ZLjZkk74mG
XSPartyVIP,Las Vegas #Nevada Group Health Insurance - #Obamacare  Low Rates Call us 702-996-6434 get a quote Live Chat http://t.co/3rdhzCkcW2
vippartyvegas,Las Vegas #Nevada Group Health Insurance - #Obamacare  Low Rates Call us 702-996-6434 get a quote Live Chat http://t.co/OgdmiNjA9b
Insure_NV,Las Vegas #Nevada Group Health Insurance - #Obamacare  Low Rates Call us 702-996-6434 get a quote Live Chat http://t.co/dS5h82vdvS
monogamism,son of 2muslim fathers; Communist mother; student of #kitman &amp; #taqiyya; #Lies #Benghazi &amp; #Obamacare: trust his #nuclearIran deal? #tcot
OFA_UT,Outrageous: Congress voted to cut essential programs like #Obamacare for millions of Americans. http://t.co/gRiPd3BNNi
afpne,Tell your sen. to not further entrench #Obamacare in NE http://t.co/dkQvXBTnbk #NELeg
jeffkleinman,Why Florida became the capital of #Obamacare enrollment http://t.co/kDUweS3Ftg
uninsuredinamer,"RT @latimes: 18,000 Californians use extended #Obamacare sign-up to avoid tax penalty http://t.co/A4kI9Ygpkq"
MustacheChuck,RT @japerez53: @TwitchyTeam @michellemalkin If one is dumb enough to enroll in #Obamacare then one needs to be told the same thing 30 times…
progunbobby,#gunsense RT zypldot: It is amazing: the same #Libs who can't see #DeathPanels in #obamacare can read #abortion &amp; social programs in the #C…
progunbobby,#gunsense It is amazing: the same #Libs who can't see #DeathPanels in #obamacare can read #abortion &amp; social programs in the #Constitution
LINDNLD,"RT @larryelder: ""GOP 2016 Campaign Slogan""

#Obamacare  
#WorstRecovery
#economy http://t.co/93AaUD8lqy"
bzaz,"RT @larryelder: ""GOP 2016 Campaign Slogan""

#Obamacare  
#WorstRecovery
#economy http://t.co/93AaUD8lqy"
JimmyQja,Please save us fr our leader... #Obamacare
443777,RT @101PCHCruzGirl: @USFreedomArmy @oceanbcake Obama sold #Obamacare only line his pockets HC InsuranceCompanies paid him very well #truth …
MHhealth,"Why, despite GOP opposition, Florida became the capital of #Obamacare enrollment http://t.co/aLGSoa64m3 via @Chabelih http://t.co/q2sUNZ3LP3"
FFRNewsNet1,RT @FFRNNU: #FFRNN #CLASSROOM #LAW GIANT LOOPHOLE IN #OBAMACARE.. #SELFINSURANCE.. STUDY HERE.. http://t.co/vv3XQytnUy #pjnet #tcot #tlot
HollowManSeries,RT @DavidQuickBooks: Can you save your business? Can you do something to grow your business? And how will you prevent #Obamacare affec... h…
arthurkirland2,RT @IWV: How #KingvBurwell Decision Could Affect #Obamacare Enrollees http://t.co/FYQo6EdoZH    #hcr
Skihasi,RT @eculee03: .@AmerMedicalAssn Are you not the organization that supported #ObamaCare? The one size fits all unaffordable care act? #NoCre…
DavidQuickBooks,Can you save your business? Can you do something to grow your business? And how will you prevent #Obamacare affec... http://t.co/bqPxAzmJEe
FWproud,RT @zypldot: It is amazing: the same #Libs who can't see #DeathPanels in #obamacare can read #abortion &amp; social programs in the #Constituti…
EllaBraigen,"RT @IBDeditorials: Just 36,000 have signed up during #Obamacare special enrollment -- just shy of the 1.2 million some expected. http://t.c…"
mustbeit,"RT @walymury: #CompulsiveLiar☞.@SenTedCruz☜#PathologicalLiar 
#PreExistingConditions.#GetCovered☑Thanks!#ObamaCARE @foxNews?@CNN http://t.c…"
AFPTN,A nasty tax surprise is in store for #Obamacare customers http://t.co/A72HQepgsg
PaddydubPatrick,RT @citizensrock: 1000s now alive because they had #Obamacare—millions more to follow—unless these ideologues become a real #DeathPanel htt…
PragueArtist,"RT @StikNtheMud: Clear Calculated Lies:
#Bergdahl served withhonor.
If u like Ur Doctor...
If u like Ur Insurance...
#ISIS=JV Team.
Shall I…"
zypldot,It is amazing: the same #Libs who can't see #DeathPanels in #obamacare can read #abortion &amp; social programs in the #Constitution
ZaffoZaza,RT @thecrowdview: RT @drscott_atlanta: Insurance co's support #Obamacare bc it forces u to buy product at an enormous price. Rationing will…
suefolmar1,RT @PattieCurran: My children's life-saving medications no longer covered because of #Obamacare http://t.co/sX89tHXcv6 #ACA
CarrieFromPI,RT @Jarjarbug: As in claiming #irandeal meets our 'core objective'? And keeping your doctor on #obamacare? http://t.co/k1SnfOrP4X
JoyOverbeck1,"RT @larryelder: ""GOP 2016 Campaign Slogan""

#Obamacare  
#WorstRecovery
#economy http://t.co/93AaUD8lqy"
MrDewMaster,RT @JoyOverbeck1: @krauthammer schools @oreillyfactor on who BO really is re #Bergdahl  #Obamacare lies #IRS lies #Benghazi lies &amp; O'R is S…
g8torgrrl,"RT @walymury: #CompulsiveLiar☞.@SenTedCruz☜#PathologicalLiar 
#PreExistingConditions.#GetCovered☑Thanks!#ObamaCARE @foxNews?@CNN http://t.c…"
RachelWard301,"I'm w/ @krauthammer..why is @oreillyfactor surprised at #obama #Bergdahl lies..it's all obama does: #Stimulus jobs,#Benghazi vid, #obamacare"
JoyOverbeck1,@krauthammer schools @oreillyfactor on who BO really is re #Bergdahl  #Obamacare lies #IRS lies #Benghazi lies &amp; O'R is SHOCKED #tcot @PJNET
FFRNewsNet1,RT @FFRNNU: #FFRNN #CLASSROOM #Obamacare Website Ad #HUMOR BASED ON #TRUTH IS #FUNNIEST #VIRAL  http://t.co/2AxHgEnUnf
Radical_kush,"RT @mterry337: #TedCriz vows to REPEAL every word of #Obamacare! Why would he REPEAL a program that he is enrolled in?! 
#UniteBlue"
FFRNNU,#FFRNN #CLASSROOM #LAW GIANT LOOPHOLE IN #OBAMACARE.. #SELFINSURANCE.. STUDY HERE.. http://t.co/vv3XQytnUy #pjnet #tcot #tlot
iluvscoops,RT @FreedomWorks: Rising deductables are destroying access to healthcare #ObamaCare @Watchdogorg http://t.co/hRpDXjwBXq
KarenWh8,RT @FreedomWorks: Rising deductables are destroying access to healthcare #ObamaCare @Watchdogorg http://t.co/hRpDXjwBXq
GeorgiaBlue01,"RT @walymury: #CompulsiveLiar☞.@SenTedCruz☜#PathologicalLiar 
#PreExistingConditions.#GetCovered☑Thanks!#ObamaCARE @foxNews?@CNN http://t.c…"
arthurkirland2,RT @IWV: Adding Corruption to #ObamaCare Incompetence http://t.co/gkDehM5r2x  by @HadleyHeath via @Washtimes @iwf #hcr
kevinlicklider,"RT @StikNtheMud: Clear Calculated Lies:
#Bergdahl served withhonor.
If u like Ur Doctor...
If u like Ur Insurance...
#ISIS=JV Team.
Shall I…"
Cjwebb7,"RT @larryelder: ""GOP 2016 Campaign Slogan""

#Obamacare  
#WorstRecovery
#economy http://t.co/93AaUD8lqy"
StikNtheMud,"Clear Calculated Lies:
#Bergdahl served withhonor.
If u like Ur Doctor...
If u like Ur Insurance...
#ISIS=JV Team.
Shall I go on?
#Obamacare"
ReneeNicola2,RT @FreedomWorks: Rising deductables are destroying access to healthcare #ObamaCare @Watchdogorg http://t.co/hRpDXjwBXq
pastormike7,"RT @larryelder: ""GOP 2016 Campaign Slogan""

#Obamacare  
#WorstRecovery
#economy http://t.co/93AaUD8lqy"
admasnek,@Schultz44 @WhiteHouse @Surgeon_General @HowardU Why should we care about health concerns? We have #Obamacare ! It's all a canard!!
itsmepanda1,RT @GlobDesign: @drscott_atlanta @dramerling @drmartyfox didn't pay the #obamacare #tax? We'll send you to the #death #panel…..
miatumutch,"RT @mterry337: #TedCriz vows to REPEAL every word of #Obamacare! Why would he REPEAL a program that he is enrolled in?! 
#UniteBlue"
saveusrepublic2,"RT @larryelder: ""GOP 2016 Campaign Slogan""

#Obamacare  
#WorstRecovery
#economy http://t.co/93AaUD8lqy"
mrentz26,"RT @larryelder: ""GOP 2016 Campaign Slogan""

#Obamacare  
#WorstRecovery
#economy http://t.co/93AaUD8lqy"
OFA_HI,Read how #Obamacare helped put these three women on the path to career success: http://t.co/JA7C6r6QYw #BetterWithObamacare
drscott_atlanta,RT @GlobDesign: @drscott_atlanta @dramerling @drmartyfox didn't pay the #obamacare #tax? We'll send you to the #death #panel…..
GlobDesign,@drscott_atlanta @dramerling @drmartyfox didn't pay the #obamacare #tax? We'll send you to the #death #panel…..
ImmigrantNacion,RT @mterry337: Why does #TedCruz keep saying 'I will REPEAL every word of #Obamacare' while taking advantage of the program and enrolling i…
