mcs7PSU,RT @ClimateReality: Can you stand the heat? #ClimateChange @RosemaryMosco http://t.co/rO5EXgWlZP
buell003,RT @UNDP_Pacific: Women &amp; vulnerable groups should be priority in future #climatechange &amp; disaster policies in #Tonga http://t.co/H4G7StE0V5
CarpeKili,RT @LungAssociation: #Climatechange impacts our #air and our #health. Here's how: http://t.co/y5LTcg9NtN #NPHW #CleanAir4Kids http://t.co/L…
taylorswiftpops,Reckon GameofThrones is bolstering the global debate on #climatechange? … http://t.co/cVpd7yLyoV http://t.co/rj2N3I0Fxl
Commerce_Energy,"Category 5 Super Typhoon #Maysak sets record in Western Pacific, via Mashable.    #GlobalWarming #ClimateChange http://t.co/WrTtytX7eg"
pradeepk333,"President Tong: ""#CyclonePam could have wiped out #Kiribati"", @UNDP step up support on adaptation to #climatechange http://t.co/ylpOQG7fHm"
charles_haine,RT @Rufus_Howard: @DONGEnergyUK @EnergyDigital @RHDHV proud to have advised on 5 of these #offshorewind farms #climatechange https://t.co/0…
USALatinosNews,RT @llendonmar46: Obama: Climate Change Is Harming Americans' Health http://t.co/gfqssfCYwE via @HuffPostPol #UniteBlue #USlatino #p2 #clim…
e_hughes10,RT @carinabloro: A few of us are way more responsible for #climatechange than the rest of us --@UCSUSA's @aaronhuertas explains: http://t.c…
WyomingEPSCoR,Is it hot in here or is it just #climatechange? https://t.co/AhEs03po8v
AnitaCasalina,RT@JoeBillionz: Bloomberg donates $30 million to shutter U.S. coal plants @BeyondCoal #climatechange #ClimateAction http://t.co/6Wr8oJ3noX
MercianRockyRex,RT @roxannewillis: Dark Matter: Women Witnessing http://t.co/fXy61IyMO1 This looks like an amazing new publication about #climatechange. #a…
planethealer,RT @VictoriaLynden: Corporations Can’t Ignore #ClimateChange: http://t.co/4MsINYqCkg
UCSUSA,RT @carinabloro: A few of us are way more responsible for #climatechange than the rest of us --@UCSUSA's @aaronhuertas explains: http://t.c…
BeeGoldsmith,Reckon @GameofThrones is bolstering the global debate on #climatechange? http://t.co/XcfT5EoPVV via @TR_Foundation
ClimateWise2015,RT @mch7576: The #WhiteHouse wants to explore how #climatechange makes you sick http://t.co/JjcSOef5yG
ClimateWise2015,"RT @bennydiego: President Obama, others link #climatechange to public health  

http://t.co/fn4Eb1DCZZ 
#ClimateAction #ActOnClimate http:/…"
CareFlash,RT @LungAssociation: #Climatechange impacts our #air and our #health. Here's how: http://t.co/y5LTcg9NtN #NPHW #CleanAir4Kids http://t.co/L…
roxannewillis,Dark Matter: Women Witnessing http://t.co/fXy61IyMO1 This looks like an amazing new publication about #climatechange. #amwriting
HealthyAmerica1,ICYMI: We applaud @WhiteHouse effort to combat #health impacts of #climatechange  #CleanAir4Kids #NPHW  #NPHWchat
db6bda440fb749e,"RT @CABI_Health: Experts warn: potential upsurge in #vectorbornediseases as #UK climate warms: http://t.co/Ctyv8sa5Wh,
http://t.co/YAe4DHyu…"
ClimateNewsCA,"April temperature Anomaly now down to -0.011C below normal. 
#Climate #ClimateChange #GlobalWarming #CarbonDioxide http://t.co/9WESS4jZzv"
asulightworks,Why @fema wants your state to stop ignoring #climatechange | via @solarfeeds http://t.co/g78qCoJJCR
BarbaraGSimoes,Great eDiscussion today on #climatechange with @Connect4Climate @EarthDayNetwork
rk70534,"RT @MSR_Future: #Climatechange will effect everyone's lives, we all need to make a stand http://t.co/DgALA8RxBO"
FJ473,he is doing the brian williams meme @gbowling2 @BlissTabitha @kin2souls #obama #climatechange
silenced_not,"@ConservationOrg #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/xDUffVPZjE"
RLoftis4,"RT @bennydiego: President Obama, others link #climatechange to public health  

http://t.co/fn4Eb1DCZZ 
#ClimateAction #ActOnClimate http:/…"
wizardQi,RT @FantasticFungi: A Solution for #ClimateChange is Underfoot! Literally. Support the film on Kickstarter: http://t.co/fuOLLB5vXG http://t…
daria_pirvu,"RT @DeSmogBlog: #Climatechange attacks: Western #Canada to lose 70 percent of glaciers, study says http://t.co/edIwsWqIVR"
maxthabiso,"RT @Connect4Climate: .@maxthabiso: ""Localize stories is very important when we talk about #climatechange"" @EarthDayNetwork #TakeOn #Ourtime…"
katiebrown0777,"RT @Ken_Greenwood: If your position is different from 97% of scientists,  raises basic competency questions... http://t.co/acToEh7RV6 #clim…"
goddessmila44,RT @EcoWatch: How #Meat Consumption Is Linked to #ClimateChange and #Drought http://t.co/iJT2HqIM8d @Cowspiracy @democracynow http://t.co/i…
Sleevetalkshow,"@theblaze: ""(@BarackObama) Uses Daughter’s Asthma Attacks to Talk About…(#ClimateChange)"" http://t.co/WtuPMplFx4"
allatseacarib,#Lionfish in North Carolina May Signal Climate Change http://t.co/VZ5Yo1TaY3 #fish #southeast #climatechange
ecojenner,"RT @Greenpeace: US Medical schools begin training students to treat diseases resulting from #climatechange.
http://t.co/azXk0K76Ab http://t…"
tarheeltroll,"#ClimateChange science is ""indisputable"" no more than anti-vaxxer science. Data driven physicians would know @DrLaPook @CBSThisMorning"
daria_pirvu,RT @EcoWatch: How #Meat Consumption Is Linked to #ClimateChange and #Drought http://t.co/iJT2HqIM8d @Cowspiracy @democracynow http://t.co/i…
nonporkperry,#FarmVoices #farm365 #education #health #climatechange #agproud #agchat #agriculture #DairyDoneRight #dairyfarming http://t.co/0ZlKLqvhyR
Kat4Obama,POTUS: We’re better off being proactive rather than paying a whole lot more in pain and suffering. http://t.co/6oQ17tXGZe #climatechange
RockinkajKat,RT @EcoWatch: How #Meat Consumption Is Linked to #ClimateChange and #Drought http://t.co/iJT2HqIM8d @Cowspiracy @democracynow http://t.co/i…
DrBirute,"RT @UN: #Climatechange is a “hunger-risk multiplier,” @FAOnews convo on impacts on food &amp; nutrition http://t.co/6L2ud6mYft http://t.co/P3C7…"
DKCleantechHub,RT @greenpact: #ClimateChange News is out! http://t.co/JP26lDPiK4 Featuring @plummer4 @DKCleantechHub @ginou1010
ChillGirlCanada,RT @EcoWatch: How #Meat Consumption Is Linked to #ClimateChange and #Drought http://t.co/iJT2HqIM8d @Cowspiracy @democracynow http://t.co/i…
infamousgrouser,RT @EcoWatch: How #Meat Consumption Is Linked to #ClimateChange and #Drought http://t.co/iJT2HqIM8d @Cowspiracy @democracynow http://t.co/i…
NEsciWriters,"RT @USGS: Coral reef webinar 4/16 @5pmET Avoid barriers, missing it’ll take atoll on ya! http://t.co/R6Vjut05Qq #climatechange http://t.co/…"
MattiKahra,"RT @YaleClimateComm: Obama links public #health to #climatechange, yet Americans largely unaware of #globalwarming #health consequences htt…"
aheartforafrica,New research lab a boon for next generation of scientists in #CongoBasin | #CIFOR http://t.co/o3pEkKlDYY #ClimateChange #Africa #Cameroon
SaskiaHeijnen,"Cowspiracy: As California Faces Drought, Film Links Meat Industry to Water Scarcity&amp; #ClimateChange http://t.co/r1ho8Q0N9d via @democracynow"
globalmana,"RT @DeSmogBlog: #Climatechange attacks: Western #Canada to lose 70 percent of glaciers, study says http://t.co/edIwsWqIVR"
OctopusBooks,April 13 Reading by @CarrieSaxifrage fr her #climatechange memoir #TheBigSwim @rawsugarcafe http://t.co/zkPqyWEryA http://t.co/SGRWHsbWhe
therightplanet1,Obama’s Law Prof Slams Him Over ‘Unconstitutional’ and ‘Unrestrained’ Use of the EPA:  http://t.co/plDgBXS5ZA #EPA #climatechange #tcot
GroceryStewards,"Bloomberg, Paulson, Steyer: Think CA #drought is bad? That's just a preview -- via @GreenBiz http://t.co/t6RKhss2fK -- #climatechange"
CambPlants,RT @UKPSF: Scientists @JohnInnesCentre discover why flowers bloom earlier in a warming climate http://t.co/brIJo0aPSu #plantsci #climatecha…
aulidotca,"@NDPCountry @tweettothehan @bcndp @jhorgan Poorest suffer most fr #climatechange, no new ideas from #NDP, recycling same paradigm. #bcpoli"
HalnaHn,"Turkey is snowing  in spring 
#climatechange"
DianaSteadman,@RussellBrand on Environmental crisis that is capitalism/consumerism. #ActionOnClimate #ClimateChange https://t.co/AQZxK5CJCh via @YouTube
PrezMulkeyUnity,"RT @DeSmogBlog: #Climatechange attacks: Western #Canada to lose 70 percent of glaciers, study says http://t.co/edIwsWqIVR"
cfbush2000,RT @JohnWheelerWDAY: http://t.co/ugof0XgVt7.    My hope for the climate change debate.  #climatechange #GlobalWarming
Ken_Greenwood,Don't let Rand Paul fool you on #climatechange http://t.co/9ZBKtsf3jF #politics
goodlife_ALEX,RT @UNEP: MT: #climatechange affects #health. But how? Learn from @uncclearn module here! http://t.co/26C4JFNdvw @WHO http://t.co/PkoEa5qMos
PetraBentele,RT @EcoWatch: How #Meat Consumption Is Linked to #ClimateChange and #Drought http://t.co/iJT2HqIM8d @Cowspiracy @democracynow http://t.co/i…
Sightline,#Obama initiative highlights link between #climatechange and public health http://t.co/vUhUjdviqO via @washingtonpost
BearTrust,RT @EcoWatch: How #Meat Consumption Is Linked to #ClimateChange and #Drought http://t.co/iJT2HqIM8d @Cowspiracy @democracynow http://t.co/i…
BoxerDave,RT @EcoWatch: How #Meat Consumption Is Linked to #ClimateChange and #Drought http://t.co/iJT2HqIM8d @Cowspiracy @democracynow http://t.co/i…
mortgageconsult,"RT @KimAcheson: ""Arctic research vessel set adrift to study sea ice decline http://t.co/AvUPqliKbi #Arctic #Worldnews #Seaice #Climatechang…"
leslieasheppard,"RT @ErnestMoniz: Low-cost, dependable #CleanEnergy is the answer to #ClimateChange, &amp; U.S. businesses are leading the way at home &amp; around …"
PetraBentele,"RT @bennydiego: President Obama, others link #climatechange to public health  

http://t.co/fn4Eb1DCZZ 
#ClimateAction #ActOnClimate http:/…"
MSR_Future,"#Climatechange will effect everyone's lives, we all need to make a stand http://t.co/DgALA8RxBO"
silenced_not,"@CuppycakeMcCoy @earthisland @caretoclick #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/xDUffVPZjE"
mch7576,"RT @bennydiego: President Obama, others link #climatechange to public health  

http://t.co/fn4Eb1DCZZ 
#ClimateAction #ActOnClimate http:/…"
1Earth1Sea1Sky,RT @EcoWatch: How #Meat Consumption Is Linked to #ClimateChange and #Drought http://t.co/iJT2HqIM8d @Cowspiracy @democracynow http://t.co/i…
NNW_101,Scheduled Tornado Swarm http://t.co/eZcQ4fz8st #Geoengineering #Weather #climatechange #globalwarming #moore #tornado #okwx #WW101
silenced_not,"@OccupyNA #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/xDUffVPZjE"
DBroton,"RT @chasingseals: What Americans think about #climatechange in seven maps, via @business http://t.co/GV0CVDBmEf http://t.co/5FmRiQUY8f"
ICMACityLinks,"#Climatechange attacks: Western Canada to lose 70 percent of glaciers, study says http://t.co/hZLSiJDmV2"
brucepknight,15 before-and-after images that show how we're transforming the planet http://t.co/gae2IZ4NfT #green #actonclimate #climatechange
VirginiaInCal,"RT @KimAcheson: ""Arctic research vessel set adrift to study sea ice decline http://t.co/AvUPqliKbi #Arctic #Worldnews #Seaice #Climatechang…"
wepeace99,"RT @bennydiego: President Obama, others link #climatechange to public health  

http://t.co/fn4Eb1DCZZ 
#ClimateAction #ActOnClimate http:/…"
cdknetwork,How can #business transform approaches to tackling #climatechange Register for event with @SistemaB @SimonMaxwell001 http://t.co/eizowOJP9U
ClimateTreaty,Did climate change cause California drought? - CNN http://t.co/8pI8VhACFL  - #ClimateChange
ClimateTreaty,Why Teenagers Are Suing States Over Climate Change - Forbes http://t.co/OaWJlezDNp  - #ClimateChange
ClimateTreaty,Persuading Americans to act on climate change - Washington Post (blog) http://t.co/KGgQe7jTtL  - #ClimateChange
hunthertornado,RT @mch7576: The #WhiteHouse wants to explore how #climatechange makes you sick http://t.co/JjcSOef5yG
Kat4Obama,POTUS:  This week educators will come to the White House to talk about incorporating #climatechange into their curriculum.
JimAntal,RT @EcoWatch: How #Meat Consumption Is Linked to #ClimateChange and #Drought http://t.co/iJT2HqIM8d @Cowspiracy @democracynow http://t.co/i…
Sigildark,"‘Water Man of India’ Makes Rivers Flow Again
http://t.co/pA5qV8FRhh
#Environment #ClimateChange"
PoliticPirate,"ALEC Lawyers Bark Over Depictions Of Climate Change Denial   http://t.co/mUFqomefQe
  #alec #climatechange #irs"
350hamilton,Think this might be something you'd care about? #ClimateChange #Journey http://t.co/nOyYmu7BIo
afed3352,"RT @MEEchelleO: MEE &amp; Barack blame #ClimateChange for Malia's asthma, not the secondhand-smoke from His Virginia Slim menthols!
-mao
#tlot …"
dunnock67,"RT @ChristopherWr11: Because #climatechange is everything, everybody needs a Climate Thing http://t.co/yZ8D2QcnpM excellent post by @grist …"
JoeMon49,RT @kenocook: @JoeMon49 @AdversAerialOne  So true..and it's damn scary that ppl are voting 4 these clowns..to deny #ClimateChange is beyond…
EcoWatch,How #Meat Consumption Is Linked to #ClimateChange and #Drought http://t.co/iJT2HqIM8d @Cowspiracy @democracynow http://t.co/i6sDSrcDo4
HardyPierce,"RT @UN: #Climatechange is a “hunger-risk multiplier,” @FAOnews convo on impacts on food &amp; nutrition http://t.co/6L2ud6mYft http://t.co/P3C7…"
comeonnoles,"RT @bennydiego: President Obama, others link #climatechange to public health  

http://t.co/fn4Eb1DCZZ 
#ClimateAction #ActOnClimate http:/…"
brie_kali,Obama links climate change to public health #climatechange #health http://t.co/18KZHJ6IBn
mfisher096,"RT @bennydiego: President Obama, others link #climatechange to public health  

http://t.co/fn4Eb1DCZZ 
#ClimateAction #ActOnClimate http:/…"
YearofJen,RT @brcalvert: #water nerds! get your questions ready for #megadrought livestream tweet-in @highcountrynews #drought #climatechange http://…
Oz_Mark,"RT @TracyMaCrazy: ""@Eco_Wife: We need to find solutions and we need to act quickly, time is running out! #climatechange http://t.co/6JBxWr8…"
biljon5,"RT @bennydiego: President Obama, others link #climatechange to public health  

http://t.co/fn4Eb1DCZZ 
#ClimateAction #ActOnClimate http:/…"
waterblogs,The worst thing we can do for our #economy is sit back and do nothing about climate change. http://t.co/ekpnf6zmXq #climate #climatechange
dailygreen_it,RT @Vandahmier: RT @dailygreen_it Entro 21mo secolo il Canada senza ghiacciai #CLIMATECHANGE #globalwarming http://t.co/7ufPYV0vwa http://t…
lluisahicart,@mayboeve : the new face of the #climatechange movement #keepitintheground http://t.co/BT9Efj6CQL @guardian @350 http://t.co/r8WqpzzvSN
GeraldSilverma1,Obama emphasizes health effects of #climatechange. @A_Childers_  @BloombergBNA story at http://t.co/XsbVjoitRU http://t.co/ymh7r1xaFT
ineeshadvs,RT @TerraPass: #Obama Says #ClimateChange Is #Hazardous to Your #Health http://t.co/6NKkPudX8o
climatechange_a,PHI Group to build oleochemical plant in Malaysia http://t.co/kRvSMePNt6 #ClimateChange
FJ473,"RT @MEEchelleO: MEE &amp; Barack blame #ClimateChange for Malia's asthma, not the secondhand-smoke from His Virginia Slim menthols!
-mao
#tlot …"
silenced_not,"@EnvDefenseFund @cath11cc we can stop emissions #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/xDUffVPZjE"
ineeshadvs,"RT @luxandeco: Fascinating break down of why ""#ClimateChange is no longer only an environmental issue""!! https://t.co/j1IZw6poDA"
AnushaVable,#ClimateChange impacts #PublicHealth: http://t.co/G5QxOA1iKH #sdoh #WeNeedBetterPolicies
AncientHominids,How Meat Consumption Is Linked to Climate Change and Drought http://t.co/aa5wtD8H4v #climatechange
JustEnergyGroup,"Category 5 Super Typhoon #Maysak sets record in Western Pacific, via Mashable  #GlobalWarming #ClimateChange http://t.co/zwiaAGHctQ"
ClimateReach,Obama Uses Daughter's Asthma Attacks to Talk About...Climate Change http://t.co/ndikvfzeJf #ClimateChange
Hurshal,#climatechange CNN The White House wants to explore how climate change makes you… http://t.co/oi3gQCsNtO via #hng http://t.co/ZiksC9plIY
mchamric,RT @mch7576: The #WhiteHouse wants to explore how #climatechange makes you sick http://t.co/JjcSOef5yG
N_Fatale,"RT @MEEchelleO: MEE &amp; Barack blame #ClimateChange for Malia's asthma, not the secondhand-smoke from His Virginia Slim menthols!
-mao
#tlot …"
silenced_not,"@davidfrum @GeoffHeinricks #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/xDUffVPZjE"
greenheartwork,RT @EcoWatch: #Obama Says #ClimateChange Is Hazardous to Your #Health http://t.co/1LZJvspyor @WhiteHouse @sierraclub @bruneski @350 http://…
ineeshadvs,"RT @bennydiego: President Obama, others link #climatechange to public health  

http://t.co/fn4Eb1DCZZ 
#ClimateAction #ActOnClimate http:/…"
Josselynne01,"RT @Greenpeace: US Medical schools begin training students to treat diseases resulting from #climatechange.
http://t.co/azXk0K76Ab http://t…"
Ejwilliams0910,RT @kennytorrella: I LOVED Jon Stewart's quote last night on @TheDailyShow while interviewing @genebaur! #WorldHealthDay #ClimateChange htt…
sealheartrobin,RT @tveitdal: California’s Historic Drought Threatens the Future of Orca Whales #climatechange http://t.co/Sa5PoaG2Sp http://t.co/QEPRlgPko1
TracyMaCrazy,"""@Eco_Wife: We need to find solutions and we need to act quickly, time is running out! #climatechange http://t.co/6JBxWr8v6g"" 

Yes! Please!"
silenced_not,"@Good_Policies @irenegarciag @Global100RE #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/xDUffVPZjE"
350SF,NASA: Arctic moisture on the move: This story is part of a recent series Landsat Goes Over the ... http://t.co/FwxzHP1GXC #climatechange
IfmsaUruguay,RT @ifmsa: #Obama says #climatechange is harming #health of #citizens http://t.co/gzwVwWZ1yP #climatehealth
einolf,RT @NOAAClimate: Tune into @NASA's #AskUS session on April 13 to investigate #ClimateChange impacts in #Alaska: http://t.co/RUOo8xjBAV http…
Nick_Obradovich,Today's most popular words on Twitter related to #ClimateChange: http://t.co/nOatuKMJpM
FrancaBrilliant,Who gets #climatechange-Yale study maps U.S. climate opinion in unprecedented geographic detail http://t.co/AOYW4L6r9E via @Yale
GreenerComms,"What they say about #climatechange : the Guardian's favourite quotes – interactive
http://t.co/zLv7rtMmCe"
TeijaKek,"RT @ClimateKIC: Take action on #climatechange, come to Europe and join the global movement http://t.co/jSIgVVCtfu http://t.co/yDeXsx8OVn"
DavidBernstein,US Starting to Worry About #ClimateChange Now That It Affects Their Lawns #science wasn't enough http://t.co/Ae4GkzKjFL via @BorowitzReport
Dave4Beaconsfld,RT @DrBobBullard: What will happen after people stop ignoring the evidence on #climatechange - The Washington Post http://t.co/hE4Mudaz5p #…
Carl23b4,"RT @bennydiego: President Obama, others link #climatechange to public health  

http://t.co/fn4Eb1DCZZ 
#ClimateAction #ActOnClimate http:/…"
OriginalTravel,Interesting look at #climatechange https://t.co/TTNuH9bGnX #world #ClimateAction #climateconversations #ttot
Geraldbrady3,RT @EcoWatch: #Obama Says #ClimateChange Is Hazardous to Your #Health http://t.co/1LZJvspyor @WhiteHouse @sierraclub @bruneski @350 http://…
GreenSchenk,"RT @Aimee587: It’s a road THROUGH Paris RT @Connect4Climate: .@GreenSchenk @tcktcktck ""Paris is the stop on the #climatechange road map"" @C…"
frank1569,"'30yrs claiming #ClimateChange is a liberal hoax to steal tax dollars? Who, us? We never said that! How dare you!' ~ Republicans."
COS_MARINE,"Today at @ucsc, find out how habitat restoration and #climatechange impact marsh birds of San Francisco Bay http://t.co/vApRgFrgSz"
yejiningg,"RT @Connect4Climate: .@Aimee587 @ClimateHotNews: ""Social media is the perfect tool to communicate #climatechange among millennials"" @EarthD…"
ClamourMag,"A must read on the importance of #nuclear power. http://t.co/T3B9dyXbhC
#climatechange #Environment"
yejiningg,"RT @Connect4Climate: .@maxthabiso: ""Localize stories is very important when we talk about #climatechange"" @EarthDayNetwork #TakeOn #Ourtime…"
msellisonmbau,"RT @climatechange_a: Tackling climate change can actually help the global economy!

The Great Depres... #ClimateChange http://t.co/NpGhTwj5…"
Travtool,RT @PplOverPower: McConnell admits republicans are run by #KochBrothers http://t.co/pymmy7oi2J #KeystoneXL #NoKXL #UniteBIue #climatechange…
cath11cc,RT @divestumass: The banner says it all. #divestumass #gofossilfree #ClimateChange #UMassAmherst #UMassGives http://t.co/1F6t6WbWz1
CourtSaintJohn,RT @apidaeDI: #climatechange denial? Understand source of skepticism @CourtSaintJohn @EarthDayNetwork
ConservationCO,RT @LCVoters: Health impacts of #climatechange are already affecting Americans. The @WhiteHouse has released a plan to tackle that. http://…
SninkyPoo,"RT @bennydiego: President Obama, others link #climatechange to public health  

http://t.co/fn4Eb1DCZZ 
#ClimateAction #ActOnClimate http:/…"
SninkyPoo,"RT @IndiciaInfo: Jonathan Franzen is confused about climate change, but then, lots of people are http://t.co/avmsiXQt5s #climatechange #Fra…"
Aimee587,"It’s a road THROUGH Paris RT @Connect4Climate: .@GreenSchenk @tcktcktck ""Paris is the stop on the #climatechange road map"" @COP21 #TakeOn"
pawarCk,@letsdreamgreen your session today on #ClimateChange was really  very insightful and informative #AIMS
SninkyPoo,"RT @DeSmogBlog: #Climatechange attacks: Western #Canada to lose 70 percent of glaciers, study says http://t.co/edIwsWqIVR"
SninkyPoo,"RT @luxandeco: Fascinating break down of why ""#ClimateChange is no longer only an environmental issue""!! https://t.co/j1IZw6poDA"
SninkyPoo,RT @TerraPass: #Obama Says #ClimateChange Is #Hazardous to Your #Health http://t.co/6NKkPudX8o
kenocook,@JoeMon49 @AdversAerialOne  So true..and it's damn scary that ppl are voting 4 these clowns..to deny #ClimateChange is beyond stupid #Inhofe
_RoyBatty_,]Pandoras promise on netfix Claim free month &amp; watch now. #Fukushima #Climatechange http://t.co/5R9LeRlFk8 http://t.co/LSO8rNWESG
yostja,RT @BankableInsight: The Costs of Hysteria: How Economists Are Misleading The Public on Climate-Change Policy - http://t.co/7fLPBRg33r #eco…
Coffeewarblers,May Boeve: the new face of the climate change movement  http://t.co/thQ7XjhLgM #keepitintheground #climatechange
ourvoices2015,RT @DrBobBullard: What will happen after people stop ignoring the evidence on #climatechange - The Washington Post http://t.co/hE4Mudaz5p #…
ineeshadvs,"RT @DeSmogBlog: #Climatechange attacks: Western #Canada to lose 70 percent of glaciers, study says http://t.co/edIwsWqIVR"
aleuru510,"RT @banegas_cool: 📝BLOG: On #Iran and #ClimateChange , @BarackObama puts stamp on 2016 👉http://t.co/81Fzno8GWv | @ThePlumLineGS #Elections2…"
soopacurry,"RT @HuckMontgomery: Hey @randpaul, NH wants you on the #hotseat. So you agree w 97% of scientists on #climatechange? #fitn http://t.co/RgHc…"
termarimah,"RT @DeSmogBlog: #Climatechange attacks: Western #Canada to lose 70 percent of glaciers, study says http://t.co/edIwsWqIVR"
aint_so_bad,"""@divestumass: The banner says it all. #divestumass #gofossilfree #ClimateChange #UMassAmherst #UMassGives http://t.co/zC5bsOJkJv"" #yeahzoo"
aleuru510,RT @llendonmar46: Obama: Climate Change Is Harming Americans' Health http://t.co/gfqssfCYwE via @HuffPostPol #UniteBlue #USlatino #p2 #clim…
Rainflo27,"RT @Care2: Coffee, chocolate, &amp; wine could soon be more scarce, thanks to #climatechange: http://t.co/iZFq6EpVUW @Care2Healthy http://t.co/…"
ChillGirlCanada,RT @tveitdal: California’s Historic Drought Threatens the Future of Orca Whales #climatechange http://t.co/Sa5PoaG2Sp http://t.co/QEPRlgPko1
TheWeatherNetUS,Why should you care about #climatechange? It's messing with our booze: http://t.co/XUNbkBmuz5 http://t.co/nbUjAuhnNO
jodafoe,RT @TimmonsRoberts: Some #INDC assessments are more equal than others-- #climatechange pledges for #Paris2015 #UNFCCC http://t.co/vLlkeaDDZ…
Synergie16,We signed the petition! The Amazon is part of the lungs of the earth pls help save it! #ClimateAction #climatechange https://t.co/vdUiznRDeX
EcoFashion2015,"RT @Ken_Greenwood: If your position is different from 97% of scientists,  raises basic competency questions... http://t.co/acToEh7RV6 #clim…"
Cal_OPR,RT @AirResources: President Obama says #climatechange is harming American's health http://t.co/HqLgVeEcf1 http://t.co/o0KzXR1n5H
ashesceo,"RT @DeSmogBlog: #Climatechange attacks: Western #Canada to lose 70 percent of glaciers, study says http://t.co/edIwsWqIVR"
ahemmayispeak,"When I follow twitter suggestions for fellow #climatechange or #renewableenergy ppl, why do pot proponents scroll out? #cleanenergy for all"
Shek,"RT @chasingseals: What Americans think about #climatechange in seven maps, via @business http://t.co/GV0CVDBmEf http://t.co/5FmRiQUY8f"
stephanie_malu,"RT @estherclimate: I don't know if I have said this before, but I am very proud of @OlumideIDOWU for his sincerity of passion to fight #cli…"
RavensFreak00,"RT @nowiknowmyabcs: Never let a crisis go to waste: Obama uses daughter's asthma attacks to talk about #ClimateChange.  

https://t.co/YkHu…"
AllanMargolin,NO KIDDIN'?!? Obama: ‘A lot more work to do’ on #climate http://t.co/KAinHrZURu via @thehill #climatechange
apidaeDI,#climatechange denial? Understand source of skepticism @CourtSaintJohn @EarthDayNetwork
AGTouchaei,"RT @UN: #Climatechange is a “hunger-risk multiplier,” @FAOnews convo on impacts on food &amp; nutrition http://t.co/6L2ud6mYft http://t.co/P3C7…"
kdungul,RT @Vandahmier: RT @dailygreen_it Entro 21mo secolo il Canada senza ghiacciai #CLIMATECHANGE #globalwarming http://t.co/7ufPYV0vwa http://t…
CresencioRamir1,"RT @banegas_cool: 📝BLOG: On #Iran and #ClimateChange , @BarackObama puts stamp on 2016 👉http://t.co/81Fzno8GWv | @ThePlumLineGS #Elections2…"
RaggedButWright,RT @LauraPaskus: #NM above the nat'l average -- in agreeing that #climatechange is happening &amp; that it's caused by human activities: http:/…
WUSTL_thinks,"Our latest #podcast is about #education, #politics, #climatechange, and why everyone should care about #Earthscience. http://t.co/q0pPj0vMKq"
dayswithe,"RT @DeSmogBlog: #Climatechange attacks: Western #Canada to lose 70 percent of glaciers, study says http://t.co/edIwsWqIVR"
Margiemom,"RT @DeSmogBlog: #Climatechange attacks: Western #Canada to lose 70 percent of glaciers, study says http://t.co/edIwsWqIVR"
glowing_globe,RT @tveitdal: California’s Historic Drought Threatens the Future of Orca Whales #climatechange http://t.co/Sa5PoaG2Sp http://t.co/QEPRlgPko1
DrottM,"RT @bennydiego: President Obama, others link #climatechange to public health  

http://t.co/fn4Eb1DCZZ 
#ClimateAction #ActOnClimate http:/…"
19Dolphin39,RT @mch7576: The #WhiteHouse wants to explore how #climatechange makes you sick http://t.co/JjcSOef5yG
TerraPass,#Obama Says #ClimateChange Is #Hazardous to Your #Health http://t.co/6NKkPudX8o
DjJeter22,"RT @nowiknowmyabcs: Never let a crisis go to waste: Obama uses daughter's asthma attacks to talk about #ClimateChange.  

https://t.co/YkHu…"
Paulalvesilva,What a great discussion on #climatechange communication strategies. Follow the conversation throught @Connect4Climate #takeon
AnnDeeLECP,RT @tveitdal: California’s Historic Drought Threatens the Future of Orca Whales #climatechange http://t.co/Sa5PoaG2Sp http://t.co/QEPRlgPko1
robertsmcc,RT @JJGiannantonio: What #Americans Think About #ClimateChange in Seven Maps http://t.co/2LjPIZm2cJ via @REWorld #sustainability http://t.c…
FeelMyUbiquity,RT @MSR_Future: 2 The Future of #Nuclear Power: Getting Rid of the waste http://t.co/EN2VaMtSUE #thorium #lftr #climatechange http://t.co/4…
LeeannWright4,"RT @nowiknowmyabcs: Never let a crisis go to waste: Obama uses daughter's asthma attacks to talk about #ClimateChange.  

https://t.co/YkHu…"
newmark_hjalmar,RT @TR_Foundation: The story behind one of the first video games dealing with the effects of #climatechange http://t.co/BV3bC4sZ2b # http:/…
EricdeMarylebon,RT @climatechange_a: Tribe considered “a traitor” for advocacy in climate change case - Washington Post http://t.co/nFJKBQWowL #ClimateChan…
EricdeMarylebon,"RT @climatechange_a: President Obama, others link climate change to public health - CNN http://t.co/dmtTcxoPYN #ClimateChange"
nowiknowmyabcs,"Never let a crisis go to waste: Obama uses daughter's asthma attacks to talk about #ClimateChange.  

https://t.co/YkHumzwkU2 @theblaze"
EricdeMarylebon,RT @climatechange_a: Ordinary clay can be used for carbon capture http://t.co/eq5etHtyWd #ClimateChange
